Repositorio;Branch;Link
TIM_Components_user;WEB0177;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_user?_a=contents&version=GBWEB0177
TIM_Components_user;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_user?_a=contents&version=GBmaster
OAM_CaptiveOauth;WEB0301_feature_loginCaptcha;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_CaptiveOauth?_a=contents&version=GBWEB0301_feature_loginCaptcha
OAM_CaptiveOauth;WEB0350_feature_ga_tags;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_CaptiveOauth?_a=contents&version=GBWEB0350_feature_ga_tags
OAM_CaptiveOauth;development;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_CaptiveOauth?_a=contents&version=GBdevelopment
OAM_CaptiveOauth;fqa;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_CaptiveOauth?_a=contents&version=GBfqa
OAM_CaptiveOauth;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_CaptiveOauth?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-saldoInfoPrePago;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-saldoInfoPrePago?_a=contents&version=GBmaster
Varejo_RBAC_PCS;DEV_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_RBAC_PCS?_a=contents&version=GBDEV_Integracao
Varejo_RBAC_PCS;FQA_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_RBAC_PCS?_a=contents&version=GBFQA_Integracao
Varejo_RBAC_PCS;SDN343979;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_RBAC_PCS?_a=contents&version=GBSDN343979
Varejo_RBAC_PCS;WEB0113;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_RBAC_PCS?_a=contents&version=GBWEB0113
Varejo_RBAC_PCS;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_RBAC_PCS?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-consultaSaldo;TIM2591;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-consultaSaldo?_a=contents&version=GBTIM2591
MeuTIM_pweb-portlet-consultaSaldo;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-consultaSaldo?_a=contents&version=GBmaster
TIM_Components_device;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_device?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-caixaPostal;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-caixaPostal?_a=contents&version=GBmaster
WSO2;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/WSO2?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-autoConfiguracao;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-autoConfiguracao?_a=contents&version=GBmaster
Servicos_VCM_traducaocanalvcm;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Servicos_VCM_traducaocanalvcm?_a=contents&version=GBmaster
Varejo_Services;DEV_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBDEV_Integracao
Varejo_Services;FQA_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBFQA_Integracao
Varejo_Services;WEB0113;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBWEB0113
Varejo_Services;WEB0120;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBWEB0120
Varejo_Services;WEB0139;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBWEB0139
Varejo_Services;WEB0139_FASE2;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBWEB0139_FASE2
